name,type,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
Headquarters,Headquarters,21202,Downtown,11,CENTRAL,"(39.290203, -76.607688)"
Central,Police Station,21202,Downtown,11,CENTRAL,"(39.289999, -76.608509)"
Northern,Police Station,21215,Woodberry,6,NORTHERN,"(39.342806, -76.651980)"
Northeastern,Police Station,21218,Morgan State University,3,NORTHEASTERN,"(39.340746, -76.582765)"
Northwestern,Police Station,21215,Woodmere,5,NORTHWESTERN,"(39.344622, -76.685407)"
Eastern,Police Station,21213,Berea,13,EASTERN,"(39.310023, -76.573357)"
Southern,Police Station,21225,Middle Branch/Reedbird Parks,10,SOUTHERN,"(39.253034, -76.617129)"
Southeastern,Police Station,21224,Hopkins Bayview,2,SOUTHEASTERN,"(39.287274, -76.553088)"
Southwestern,Police Station,21223,Gwynns Falls,8,SOUTHWESTERN,"(39.278384, -76.663905)"
Western,Police Station,21217,Sandtown-Winchester,9,WESTERN,"(39.300571, -76.644939)"
